,TCGA.3C.AAAU.01,TCGA.3C.AALI.01,TCGA.A1.A0SB.01
mrna_DES,0.17147006412282614,-0.6032282340400176,-0.7618732774915528
mrna_NCBP1,0.15934997481732285,0.2749809197402661,-0.24407659639651705
mrna_RFXANK,-1.0303507293409078,0.155952288284954,-0.6313997137575803
mrna_MICALL2,0.3576153563491068,1.376303043475079,-2.799454658540581
mrna_ZNF14,1.4951226511200724,-0.28531933270106785,1.0623968544832665
mrna_CDA,0.21025189279016251,-1.0891775608855534,-1.8234296258936964
mrna_JPH3,0.06942540849647304,4.231903818422383,-0.5049719115034392
mrna_TBCEL,1.1169028668677101,-1.298544001691279,1.0926604860662443
mrna_UCHL5,0.8060057880657135,-0.7040447352068403,-0.7341112547623297
mrna_REL,0.6458610866013529,0.984197981295693,0.18255851729192685
mrna_HSF2,-0.8622868793400361,-0.09249492544107074,1.0546688900274734
